epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,703.385,1.25737,0.97224,2.44775,0.58941,0.7323,0.6721,0.4908,1.1862,0.9406,2.48059,0.00999918,0.00999918,0.00999918
85,711.183,1.33221,0.9422,2.35425,0.56663,0.6826,0.62733,0.43519,1.36843,0.99281,2.579,0.00999917,0.00999917,0.00999917
86,718.664,1.27017,0.97464,2.37924,0.6062,0.72369,0.67699,0.50742,1.12999,0.94348,2.47614,0.00999916,0.00999916,0.00999916
87,726.113,1.2602,0.95445,2.35828,0.60368,0.65281,0.64456,0.46811,1.22047,1.00993,2.45855,0.00999915,0.00999915,0.00999915
88,734.304,1.33655,0.95738,2.3016,0.60098,0.7174,0.67517,0.49059,1.20558,0.96056,2.53801,0.00999914,0.00999914,0.00999914
89,742.03,1.24861,0.93868,2.39713,0.59045,0.63636,0.61756,0.45869,1.20245,1.06602,2.47,0.00999913,0.00999913,0.00999913
90,750.328,1.26642,0.92499,2.31508,0.56976,0.68935,0.62947,0.45811,1.2272,0.94103,2.51301,0.00999912,0.00999912,0.00999912
91,758.06,1.25795,0.91046,2.31462,0.59784,0.65872,0.63586,0.44295,1.28032,0.96795,2.57216,0.00999911,0.00999911,0.00999911
92,765.679,1.23744,0.89021,2.35282,0.61285,0.71221,0.67265,0.49525,1.17206,0.92346,2.4375,0.0099991,0.0099991,0.0099991
93,773.563,1.25927,0.89467,2.32487,0.6014,0.68104,0.63884,0.46425,1.20148,0.9194,2.53123,0.00999909,0.00999909,0.00999909
94,781.262,1.25099,0.90993,2.30313,0.59322,0.68052,0.64659,0.46332,1.18167,0.95149,2.53266,0.00999908,0.00999908,0.00999908
95,788.769,1.22737,0.91214,2.32158,0.59444,0.72623,0.67681,0.49255,1.20474,0.91648,2.42152,0.00999907,0.00999907,0.00999907
96,796.712,1.19687,0.88948,2.28948,0.65157,0.68883,0.69982,0.50264,1.1421,0.95559,2.50932,0.00999906,0.00999906,0.00999906
97,804.013,1.21177,0.89116,2.30296,0.61014,0.71325,0.67464,0.47868,1.20142,0.93053,2.49964,0.00999905,0.00999905,0.00999905
98,811.647,1.25116,0.93206,2.31836,0.63008,0.68104,0.66839,0.49131,1.15862,0.93357,2.47104,0.00999904,0.00999904,0.00999904
99,819.285,1.22825,0.93787,2.33617,0.60495,0.72208,0.67095,0.47766,1.17797,0.90995,2.46333,0.00999903,0.00999903,0.00999903
100,826.856,1.16529,0.88,2.36985,0.59398,0.71896,0.65481,0.49066,1.14179,0.88475,2.46233,0.00999902,0.00999902,0.00999902
101,834.43,1.2001,0.90144,2.34315,0.59945,0.63896,0.64503,0.49231,1.10112,0.98897,2.47827,0.00999901,0.00999901,0.00999901
102,842.406,1.20769,0.89313,2.28203,0.5794,0.74854,0.65995,0.47949,1.1464,0.89182,2.48378,0.009999,0.009999,0.009999
103,849.865,1.16237,0.86256,2.23392,0.59497,0.7257,0.6621,0.48291,1.12643,0.88628,2.47256,0.00999899,0.00999899,0.00999899
104,856.944,1.13936,0.85732,2.25393,0.63329,0.71411,0.69155,0.51961,1.06894,0.86575,2.42322,0.00999898,0.00999898,0.00999898
105,864.211,1.15213,0.85228,2.28939,0.60191,0.71844,0.67076,0.50992,1.06879,0.87968,2.47875,0.00999897,0.00999897,0.00999897
106,871.539,1.14546,0.83571,2.24005,0.60356,0.70494,0.67218,0.49933,1.15541,0.93959,2.43029,0.00999896,0.00999896,0.00999896
107,879.354,1.11486,0.8509,2.30363,0.60007,0.65922,0.65773,0.48916,1.12807,0.9641,2.41088,0.00999895,0.00999895,0.00999895
108,887.646,1.14611,0.83209,2.23624,0.62696,0.73774,0.71562,0.52929,1.10465,0.85262,2.53094,0.00999894,0.00999894,0.00999894
109,895.33,1.12655,0.82137,2.29629,0.63838,0.7574,0.72035,0.53732,1.08098,0.83371,2.39179,0.00999893,0.00999893,0.00999893
110,903.307,1.11229,0.84018,2.29645,0.61396,0.69143,0.67023,0.50382,1.05134,0.88728,2.42175,0.00999892,0.00999892,0.00999892
111,911.135,1.15142,0.84997,2.2561,0.62617,0.74753,0.70187,0.52629,1.06812,0.85119,2.45933,0.00999891,0.00999891,0.00999891
112,919.032,1.17109,0.839,2.22267,0.65297,0.71257,0.71058,0.55336,0.99394,0.84006,2.42127,0.0099989,0.0099989,0.0099989
113,926.803,1.15239,0.86952,2.26434,0.67069,0.74442,0.74288,0.57241,1.01453,0.8344,2.41555,0.00999889,0.00999889,0.00999889
114,934.47,1.1503,0.83882,2.24876,0.58418,0.74587,0.66733,0.50227,1.04194,0.83663,2.41414,0.00999888,0.00999888,0.00999888
115,942.154,1.15783,0.82902,2.30217,0.6586,0.69247,0.71447,0.53749,1.08854,0.8755,2.41778,0.00999887,0.00999887,0.00999887
116,950.1,1.07939,0.80457,2.30209,0.66077,0.74857,0.74931,0.56887,1.06471,0.83874,2.3837,0.00999886,0.00999886,0.00999886
117,958.015,1.1435,0.80434,2.2324,0.6161,0.67844,0.6527,0.49146,1.09037,0.88779,2.47922,0.00999885,0.00999885,0.00999885
118,965.887,1.12369,0.80983,2.19497,0.65789,0.75169,0.74442,0.56315,1.05863,0.81978,2.35242,0.00999884,0.00999884,0.00999884
119,973.351,1.0927,0.83894,2.27919,0.66435,0.76571,0.75649,0.566,1.04595,0.82424,2.36567,0.00999883,0.00999883,0.00999883
120,981.131,1.12759,0.8302,2.24987,0.62054,0.7387,0.70011,0.53761,1.01613,0.84059,2.42013,0.00999882,0.00999882,0.00999882
121,989.146,1.10573,0.80073,2.2572,0.64349,0.74732,0.71697,0.52093,1.11554,0.86531,2.4138,0.00999881,0.00999881,0.00999881
122,996.774,1.06916,0.80674,2.23921,0.62856,0.7226,0.70582,0.54343,1.01591,0.82609,2.3858,0.0099988,0.0099988,0.0099988
123,1004.71,1.10392,0.83468,2.27351,0.62455,0.75013,0.71728,0.55504,0.98479,0.81478,2.37816,0.00999879,0.00999879,0.00999879
124,1012.48,1.0902,0.81924,2.26486,0.55044,0.6704,0.6115,0.43187,1.21861,0.97944,2.53269,0.00999878,0.00999878,0.00999878
125,1020.32,1.07296,0.79329,2.23743,0.67196,0.72312,0.73099,0.57171,0.96747,0.80565,2.37582,0.00999877,0.00999877,0.00999877
126,1028.35,1.05598,0.78323,2.27139,0.6661,0.72779,0.73152,0.57056,0.97257,0.7933,2.36902,0.00999876,0.00999876,0.00999876
127,1036.53,1.07756,0.77347,2.23032,0.6208,0.71694,0.68933,0.53419,1.02404,0.81573,2.43699,0.00999875,0.00999875,0.00999875
128,1044.41,1.06892,0.78991,2.23732,0.56032,0.72935,0.66503,0.5134,0.99741,0.90748,2.39534,0.00999874,0.00999874,0.00999874
129,1052.15,1.0611,0.77207,2.24853,0.65325,0.7387,0.73359,0.5704,1.00095,0.81702,2.36119,0.00999873,0.00999873,0.00999873
130,1060.41,1.08922,0.78693,2.18971,0.64945,0.75532,0.73298,0.56793,0.97356,0.7961,2.37448,0.00999872,0.00999872,0.00999872
131,1068.49,1.0724,0.79015,2.21764,0.58578,0.71921,0.67375,0.51247,1.05351,0.912,2.39802,0.00999871,0.00999871,0.00999871
132,1075.96,1.03793,0.77618,2.20269,0.63314,0.73506,0.70404,0.52889,1.04702,0.83376,2.40233,0.0099987,0.0099987,0.0099987
133,1083.69,1.09146,0.81265,2.19541,0.62353,0.7361,0.7039,0.54234,0.99613,0.81863,2.34108,0.00999869,0.00999869,0.00999869
134,1091.67,1.08457,0.81709,2.23983,0.62361,0.73074,0.69879,0.52226,1.02176,0.83892,2.41577,0.00999868,0.00999868,0.00999868
135,1099.74,1.04679,0.77994,2.18889,0.61964,0.74218,0.6915,0.5308,0.97811,0.82633,2.42127,0.00999867,0.00999867,0.00999867
136,1107.75,1.04278,0.80828,2.27128,0.60856,0.72523,0.68461,0.52845,0.98602,0.82566,2.34816,0.00999866,0.00999866,0.00999866
137,1115.6,1.02222,0.76671,2.23218,0.62549,0.74701,0.70923,0.55163,0.93873,0.8211,2.42927,0.00999865,0.00999865,0.00999865
138,1124.07,1.04299,0.77251,2.20669,0.61406,0.72901,0.68073,0.51829,1.00454,0.84066,2.35892,0.00999864,0.00999864,0.00999864
139,1132.14,1.0095,0.76366,2.24731,0.59798,0.74798,0.69157,0.54,0.98285,0.79766,2.35205,0.00999863,0.00999863,0.00999863
140,1140.25,1.06842,0.77763,2.16634,0.57264,0.6919,0.67655,0.51296,1.05469,0.85258,2.41576,0.00999862,0.00999862,0.00999862
141,1147.98,1.08382,0.76888,2.11116,0.62371,0.76,0.72458,0.57056,0.93922,0.78163,2.32652,0.00999861,0.00999861,0.00999861
